RACE_SESSION,DRIVER_NUMBER,LAP_NUMBER,PIT_STOP_TIME,LAPS_BEFORE_PIT,AVG_LAP_TIME_BEFORE,STD_LAP_TIME_BEFORE,LAST_LAP_TIME,TRACK_FACTOR,LAP_PROGRESS,AIR_TEMP,TRACK_TEMP,RAIN,AVG_SPEED_BEFORE,AVG_TOP_SPEED_BEFORE,TRACK_COTA,TRACK_Road America,TRACK_Sebring,TRACK_Sonoma,TRACK_VIR,TRACK_barber,TRACK
1,1,16,14.230753319498364,321,149.4189875389408,8.413981747281975,149.38400000000001,1.0,1.0,33.562666666666665,42.79111111111111,0,145.3339563862928,,False,False,True,False,False,False,Sebring
1,1,16,16.221370998892912,321,149.4189875389408,8.413981747281975,149.38400000000001,1.0,1.0,33.562666666666665,42.79111111111111,0,145.3339563862928,,False,False,True,False,False,False,Sebring
2,1,14,14.387963886718182,273,153.71120512820514,20.127893882958794,146.23,1.0,1.0,30.01473684210527,38.78157894736842,0,142.71318681318684,,False,False,True,False,False,False,Sebring
1,1,2,13.009833921681274,33,163.42839393939397,1.1511533873520599,162.85,1.05,0.10526315789473684,16.003777777777778,31.15111111111111,0,84.55151515151516,145.26666666666668,False,False,False,True,False,False,Sonoma
1,1,14,18.321499469171805,414,130.59195893719806,22.74967308507374,112.524,1.05,0.7368421052631579,16.003777777777778,31.15111111111111,0,108.65072463768115,171.48019559902198,False,False,False,True,False,False,Sonoma
1,1,18,16.11594081242809,535,126.86139626168226,21.207220401311407,112.388,1.05,0.9473684210526315,16.003777777777778,31.15111111111111,0,111.4814953271028,174.78937381404174,False,False,False,True,False,False,Sonoma
1,1,19,16.63879230703189,565,126.35308141592922,20.9338178837114,112.824,1.05,1.0,16.003777777777778,31.15111111111111,0,111.8633628318584,175.338309352518,False,False,False,True,False,False,Sonoma
2,1,3,16.7038838845648,66,145.6460303030303,26.916873105613195,118.77199999999999,1.05,1.0,25.0,30.0,0,98.13333333333334,160.6030303030303,False,False,False,True,False,False,Sonoma
1,1,12,14.023509633866546,235,144.67524255319148,26.913792766888808,198.055,1.0,1.0,33.88340909090909,48.60909090909092,0,134.50212765957446,,False,False,False,False,True,False,VIR
2,1,10,16.313547027518506,189,131.51522751322753,3.3305428533442414,130.739,1.0,1.0,31.946976744186042,42.61627906976744,0,144.14232804232805,,False,False,False,False,True,False,VIR
1,1,8,15.05252022599136,154,108.92864285714285,12.879625368886206,98.086,1.08,0.34782608695652173,30.16720930232558,0.0,0,123.87987012987013,171.71298701298704,False,False,False,False,False,True,barber
1,1,23,16.57245937531009,474,102.58664556962026,8.645346794523673,98.569,1.08,1.0,30.16720930232558,0.0,0,130.6489451476793,179.618776371308,False,False,False,False,False,True,barber
2,1,4,14.736670850886677,66,100.10646969696968,2.5876699184323932,98.313,1.08,0.15384615384615385,24.544545454545457,0.0,0,133.19545454545454,185.03030303030303,False,False,False,False,False,True,barber
2,1,6,18.542263430609562,109,100.63752293577981,10.38473662944299,98.638,1.08,0.23076923076923078,24.544545454545457,0.0,0,133.13577981651378,185.08165137614674,False,False,False,False,False,True,barber
2,1,9,15.930523393662334,175,100.15645714285716,8.401803179281375,97.991,1.08,0.34615384615384615,24.544545454545457,0.0,0,133.54285714285717,185.08285714285714,False,False,False,False,False,True,barber
2,1,9,14.364202837335384,175,100.15645714285716,8.401803179281375,97.991,1.08,0.34615384615384615,24.544545454545457,0.0,0,133.54285714285717,185.08285714285714,False,False,False,False,False,True,barber
2,1,15,17.558432752770173,307,100.34085016286645,10.815362963687301,98.499,1.08,0.5769230769230769,24.544545454545457,0.0,0,133.58273615635179,184.97296416938113,False,False,False,False,False,True,barber
2,1,18,14.680272986581931,373,100.49280428954421,12.663722817721002,98.077,1.08,0.6923076923076923,24.544545454545457,0.0,0,133.58364611260052,185.02359249329754,False,False,False,False,False,True,barber
2,1,26,17.323295392507138,546,100.19125457875458,11.20924555560705,98.886,1.08,1.0,24.544545454545457,0.0,0,133.7915750915751,185.04322344322347,False,False,False,False,False,True,barber
